month,sample_size,mse,medse,r2,directional_accuracy,sign_mismatch_large_y,long_return,short_return,long_short_return,cumulative_long_short_return
1995-01,7288,0.04544003680348396,0.003985655959695578,-0.035895466804504395,0.33013172338090013,0.6381109280615047,0.24031499959528446,-0.002093853712313685,0.24240885330759815,0.2424088533075981
1995-02,7341,0.02422923780977726,0.003221353515982628,-0.03758585453033447,0.4346819234436725,0.5838339705079192,0.30287510469909573,0.08227976889433014,0.2205953358047656,0.5164784515098015
1995-03,7384,0.02635767310857773,0.0029679827857762575,-0.051509857177734375,0.37337486457204766,0.6343445287107259,0.5,0.03740339023593568,0.4625966097640643,1.217996241958494
1995-04,7415,0.029632415622472763,0.003277783514931798,-0.03064143657684326,0.39366149696561026,0.5801403130059363,0.5,-0.001361119079576412,0.5013611190795764,2.3300133199410995
1995-05,7452,0.03505760803818703,0.003672541817650199,-0.11277294158935547,0.3374932903918411,0.7525551371705218,0.5,0.10687103301138821,0.39312896698861177,3.6391380164678617
1995-06,7483,0.03422188013792038,0.004337497986853123,-0.1340196132659912,0.33128424428705067,0.7632282202031,0.25,0.09861939033898673,0.15138060966101327,4.34141355770235
1995-07,7495,0.03557611256837845,0.003191579831764102,-0.05197298526763916,0.3971981320880587,0.6575854700854701,0.22983849979937077,0.015489908628847937,0.21434859117052282,5.486338028654979
1995-08,7515,0.02528134174644947,0.002963492413982749,-0.05554366111755371,0.3815036593479707,0.6174746936600959,0.5,0.018527880404114204,0.4814721195958858,8.60932894772689
1995-09,7523,0.01982555352151394,0.0035512333270162344,-0.045423269271850586,0.6135850059816562,0.22488038277511962,0.25,-0.06880934125348324,0.31880934125348326,11.672872779439727
1995-10,7554,0.023760104551911354,0.003901998745277524,-0.03224670886993408,0.384696849351337,0.5491671144545943,0.25,0.04471812455449796,0.20528187544550203,14.274383870885368
1995-11,7570,0.027715807780623436,0.0037379858549684286,-0.011540532112121582,0.4413474240422721,0.508985200845666,0.2954544983804226,-0.010970111052263642,0.30642460943268623,18.95483098284634
1995-12,7521,0.0332859568297863,0.004118249285966158,-0.06303656101226807,0.38598590612950406,0.6456440406199893,0.03325418674828171,-0.010798416005697049,0.044052602753978765,19.833893225156455
1996-01,7519,0.0316309928894043,0.0030726310797035694,-0.06280279159545898,0.41641175688256415,0.6648936170212766,0.22499999962747097,0.06567700662412686,0.15932299300334413,23.15321144970048
1996-02,7509,0.024588357657194138,0.002915575634688139,-0.05466055870056152,0.43467838593687574,0.637187000532765,0.10834267856828171,-0.005525529694514984,0.1138682082627967,25.903494361270337
1996-03,7519,0.03871319070458412,0.0036994728725403547,-0.12184429168701172,0.38143370129006515,0.7803191489361702,0.0805362905732663,0.13154680862895304,-0.05101051805568674,24.531133176393688
1996-04,7530,0.06371544301509857,0.0032516445498913527,-0.09259557723999023,0.3548472775564409,0.7907594264471588,0.5,0.06773196812603084,0.43226803187396917,35.567425866065584
1996-05,7550,0.01831607148051262,0.003068308811634779,0.0039351582527160645,0.5606622516556291,0.2660204631125471,0.05003153523352313,-0.10636345855441895,0.15639499378794208,41.28638820722994
1996-06,7564,0.02367742918431759,0.004660956561565399,-0.18249070644378662,0.7172131147540983,0.09730301427815971,0.06818200647830963,-0.150088196552344,0.21827020303065364,50.51624674665506
1996-07,7596,0.02410840429365635,0.00377310486510396,-0.13609683513641357,0.2956819378620327,0.7272248551869405,0.25,0.08848915540130023,0.16151084459869977,58.836679269262326
1996-08,7626,0.022324535995721817,0.0033438412938266993,-0.06922495365142822,0.3718856543404144,0.6413214472994232,0.19999999925494194,0.06734453683573041,0.13265546241921153,66.77434162735636
1996-09,7660,0.02078155055642128,0.003909999504685402,0.006006598472595215,0.4943864229765013,0.34464751958224543,0.25,-0.07833656655748351,0.3283365665574835,89.02713625797648
1996-10,7662,0.024863386526703835,0.004280920140445232,-0.06137800216674805,0.3496476115896633,0.6334405144694534,0.17154299995551506,0.023802400094981253,0.1477405998605338,102.32779937245594
1996-11,7707,0.0229583028703928,0.003561818040907383,0.00030034780502319336,0.4825483326845725,0.46030098598858327,0.20262600108981133,-0.020691783421259213,0.22331778451107054,125.40273460671719
1996-12,7743,0.04452695697546005,0.0047837053425610065,-0.14731013774871826,0.3227431228206122,0.783601453035807,0.0613860321397502,0.10442803097993682,-0.04304199884018662,119.96210825037845
