month,sample_size,mse,medse,r2,long_return,short_return,long_short_return,cumulative_long_short_return
1995-01,7288,2.1641745567321777,0.06490208208560944,-48.33663558959961,0.07088428321619814,0.033021759622407935,0.0378625235937902,0.037862523593790165
1995-02,7341,3.1031973361968994,0.07652851939201355,-131.8904266357422,-0.005153858626185666,0.015244985214603953,-0.02039884384078962,0.01669132804679263
1995-03,7384,2.9899380207061768,0.07194163650274277,-118.28022766113281,0.03919636368947178,0.010797004070609992,0.02839935961886179,0.045564710693371646
1995-04,7415,4.239327430725098,0.07203634083271027,-146.44752502441406,0.0121173512149292,0.01479556829425539,-0.00267821707932619,0.04276446142765189
1995-05,7452,9.693033218383789,0.06743831932544708,-306.669189453125,0.12479554701929274,0.05765143893479413,0.06714410808449861,0.11277995113242412
1995-06,7483,3.653170108795166,0.06520917266607285,-120.05606842041016,0.09268140337534994,0.06521478030247922,0.02746662307287072,0.14334425861322586
1995-07,7495,2.736208438873291,0.07268194109201431,-79.90870666503906,-0.05004853731924931,0.061715364499793646,-0.11176390181904296,0.015559643148210789
1995-08,7515,6.067232608795166,0.07134982943534851,-252.31838989257812,0.04924501142645044,0.03326974691264378,0.01597526451380666,0.03178347707705065
1995-09,7523,6.055260181427002,0.09541666507720947,-318.3005065917969,-0.07053219325491518,-0.056860228674733976,-0.013671964580181203,0.01767696992403711
1995-10,7554,20.529945373535156,0.07054701447486877,-890.9138793945312,0.035369881109078946,0.019370197404533725,0.01599968370454522,0.033959479556221694
1995-11,7570,5.9070329666137695,0.07652851939201355,-214.5882568359375,-0.05816256081774453,-0.006013965636231572,-0.052148595181512956,-0.019960054777243497
1995-12,7521,5.3677287101745605,0.07087355107069016,-170.42640686035156,0.008458967772679144,0.04390676980550237,-0.03544780203282323,-0.054700316739758725
1996-01,7519,28.005821228027344,0.07590790092945099,-939.9968872070312,0.023057643741652353,0.032344090474828995,-0.009286446733176641,-0.06347879189524375
1996-02,7509,19.63948631286621,0.07652851939201355,-841.3902587890625,0.06482058391005396,0.04180206780702186,0.023018516103032106,-0.04192146338565339
1996-03,7519,26.60887336730957,0.0710109993815422,-770.0812377929688,0.060564545883607296,0.05116170439142151,0.009402841492185787,-0.03291280276880337
1996-04,7530,107.56338500976562,0.06960594654083252,-1843.5023193359375,0.08204710496265043,0.07061186706078187,0.011435237901868553,-0.021853930596613447
1996-05,7550,47.758121490478516,0.08731073141098022,-2596.1826171875,-0.07460374991833955,-0.03307310461196956,-0.04153064530637,-0.06247696806282543
1996-06,7564,13.445018768310547,0.11253467947244644,-670.4669799804688,-0.13350743403467238,-0.07472616123256062,-0.05878127280211176,-0.11758576516138741
1996-07,7596,7.410656929016113,0.0630750060081482,-348.2236328125,0.13758284043667662,0.03767762185925341,0.09990521857742321,-0.029427978154006218
1996-08,7626,1.967204213142395,0.06976882368326187,-93.21847534179688,0.050605532545569584,0.031413051277063564,0.01919248126850602,-0.010800292804990952
1996-09,7660,5.4097161293029785,0.0797191932797432,-257.74981689453125,-0.05243267445752497,-0.031938450290899305,-0.020494224166625663,-0.03107317334980597
1996-10,7662,4.186820030212402,0.06685630977153778,-177.72862243652344,0.08170400552570448,0.02067381844751892,0.061030187078185555,0.02806061214572808
1996-11,7707,5.686944961547852,0.07679377496242523,-246.63316345214844,-0.015711455928889864,-0.0206222114412873,0.004910755512397436,0.033109166463901385
1996-12,7743,2.00943660736084,0.06441184133291245,-50.77643585205078,0.0822984607693848,0.07083543934149414,0.011463021427890657,0.044951718976427246
