month,sample_size,mse,medse,r2,long_return,short_return,long_short_return,cumulative_long_short_return
1995-01,7288,0.044052571058273315,0.0030899709090590477,-0.004265427589416504,0.04694744087552593,0.02909289828884149,0.017854542586684438,0.017854542586684508
1995-02,7341,0.024301867932081223,0.003410927951335907,-0.040696024894714355,0.012650833799813337,0.014182962025106537,-0.0015321282252931997,0.01629505891274441
1995-03,7384,0.025088747963309288,0.002835120540112257,-0.0008875131607055664,0.025685987879568207,0.012120009520782668,0.013565978358785539,0.03008209568809539
1995-04,7415,0.028770577162504196,0.003110387595370412,-0.0006659030914306641,0.028845415612412162,0.011524669448859225,0.017320746163552937,0.04792388619512944
1995-05,7452,0.03204973414540291,0.0031421631574630737,-0.017299175262451172,0.03506853693393809,0.058877999873147444,-0.023809462939209353,0.022973381263654336
1995-06,7483,0.03431132063269615,0.0033483756706118584,-0.13698339462280273,0.0488322793427023,0.06160819099625861,-0.012775911653556307,0.009903963720690134
1995-07,7495,0.03387847915291786,0.003162583103403449,-0.0017745494842529297,0.029341627263777377,0.05148965682382792,-0.02214802956005054,-0.012463419120608
1995-08,7515,0.02453411929309368,0.0027180425822734833,-0.02434563636779785,0.022424087926733637,0.031258098670254655,-0.008834010743521019,-0.021187327885716534
1995-09,7523,0.023372765630483627,0.00555504160001874,-0.23247158527374268,-0.03600648258508683,-0.03717342291736017,0.001166940332273339,-0.020045111900886092
1995-10,7554,0.023120058700442314,0.0033483756706118584,-0.004440188407897949,0.015592817225746368,0.010168850294426887,0.00542396693131948,-0.014729868993651696
1995-11,7570,0.027637014165520668,0.004075279459357262,-0.008664846420288086,0.013265692352126119,0.0026527410423071874,0.010612951309818932,-0.0042732450662623656
1995-12,7521,0.03139454871416092,0.0041314237751066685,-0.002631664276123047,0.017839655758313925,0.045101628770235616,-0.02726197301192169,-0.031418720986514326
1996-01,7519,0.029810316860675812,0.003298302413895726,-0.0016280412673950195,0.02657126494428793,0.03036226075422887,-0.003790995809940939,-0.03509060855684165
1996-02,7509,0.02331402711570263,0.0033322733361274004,-1.1920928955078125e-06,0.02327894139450897,0.042187454675091426,-0.018908513280582455,-0.053335610599503314
1996-03,7519,0.03531348332762718,0.003875205758959055,-0.023326516151428223,0.05305913039008789,0.05101356583053107,0.0020455645595568173,-0.05139914747475127
1996-04,7530,0.060443006455898285,0.003174308454617858,-0.03647959232330322,0.054416986681387364,0.06879441949793516,-0.014377432816547797,-0.06503759250165297
1996-05,7550,0.021215282380580902,0.004074396565556526,-0.15372979640960693,-0.029828246210744945,-0.024842943130246067,-0.004985303080498878,-0.06969866347190512
1996-06,7564,0.029757196083664894,0.008097093552350998,-0.4861246347427368,-0.059667314737068156,-0.07231972883726474,0.012652414100196588,-0.057928105724185275
1996-07,7596,0.02151523530483246,0.002717172261327505,-0.013895034790039062,0.042605351817417446,0.038444255567793836,0.0041610962496236095,-0.05400805389803831
1996-08,7626,0.020888010039925575,0.0030117977876216173,-0.0004229545593261719,0.027063324083552727,0.029158129913211747,-0.0020948058296590202,-0.055989723341543174
1996-09,7660,0.02272036112844944,0.004282543435692787,-0.08672785758972168,-0.03171036287653746,-0.011368087371300621,-0.02034227550523684,-0.07519304046910436
1996-10,7662,0.023454459384083748,0.003667010460048914,-0.001233220100402832,0.046889822464322314,0.01743538907103547,0.029454433393286843,-0.04795337547795342
1996-11,7707,0.023764239624142647,0.003832210088148713,-0.03479349613189697,0.007656327317855865,-0.019094025768950435,0.0267503530868063,-0.022485792116886616
1996-12,7743,0.0403163842856884,0.004217443522065878,-0.0388178825378418,0.05457937198216385,0.07344451041781472,-0.018865138435650866,-0.040926732971417135
