loss,cap_tag,runs,target_sharpe,mean_observed_sharpe,std_observed_sharpe,deviation_pct,flag_gt_15pct
gmadl,cap05,3,0.307,0.4985112550958513,0.31945845302636083,62.38151631786688,True
hybrid_mul,cap05,3,0.914,0.6569224300778345,0.4404241251429029,-28.126648787983104,True
imadl,cap05,3,0.464,0.545830649773964,0.3294424976807731,17.6359158995612,True
