month,sample_size,mse,r2,long_return,short_return,long_short_return,cumulative_long_short_return
1995-01,7288,0.5582723021507263,-11.726920127868652,0.05692438074329855,0.04726723743600696,0.009657143307291588,0.009657143307291616
1995-02,7341,12.269547462463379,-524.4275512695312,0.023233908997867203,0.014850577568264554,0.00838333142960265,0.018121433769902495
1995-03,7384,0.49537867307662964,-18.762577056884766,-0.015126953203879875,0.039847593368865064,-0.05497454657274494,-0.037849330407590864
1995-04,7415,0.5570696592330933,-18.375370025634766,0.0344464778888872,0.032648375755258106,0.0017981021336290967,-0.03611928523572416
1995-05,7452,2.0255982875823975,-63.29505920410156,0.06204871492714995,0.06746387155285152,-0.005415156625701571,-0.041338850274665884
1995-06,7483,1.426315426826477,-46.26419448852539,0.04232188850135684,0.07080188786188692,-0.028479999360530077,-0.06864151920580841
1995-07,7495,1.3943084478378296,-40.22920227050781,0.030379829739024648,-0.00545997547609662,0.03583980521512127,-0.03526181266869344
1995-08,7515,2.786252975463867,-115.33130645751953,0.03408110962218084,0.1400179540173546,-0.10593684439517376,-0.13746313190209214
1995-09,7523,0.845507800579071,-43.584556579589844,-0.01440371018135863,-0.04457269921381144,0.03016898903245281,-0.11144126658836018
1995-10,7554,0.3864155113697052,-15.787641525268555,0.052181545906378454,0.07594437648601436,-0.023762830579635907,-0.13255593723047687
1995-11,7570,2.09183931350708,-75.3456039428711,-0.021100200825561924,0.006145491901251221,-0.027245692726813146,-0.15619005162239363
1995-12,7521,1.0855029821395874,-33.667152404785156,-0.015451558153141677,0.021608927555426788,-0.037060485708568465,-0.18746205815498984
1996-01,7519,0.6475462913513184,-20.757585525512695,0.004934367935364716,0.01557852692044848,-0.010644158985083765,-0.19611084118940092
1996-02,7509,3.9005327224731445,-166.30430603027344,0.019371804654328594,0.02764204273663808,-0.008270238082309485,-0.20275919592455216
1996-03,7519,1.8640151023864746,-53.01607894897461,0.04720028817679817,0.051052258881302305,-0.003851970704504132,-0.2058301441462861
1996-04,7530,0.5719901919364929,-8.808515548706055,0.02766187667549947,0.06070222784634634,-0.03304035117084687,-0.23206979507299363
1996-05,7550,0.6011692881584167,-31.692794799804688,-0.04070133723843992,-0.039482669610109544,-0.0012186676283303735,-0.23300564675455526
1996-06,7564,17.20113754272461,-858.0538330078125,-0.09080890968801016,-0.10106638591898816,0.010257476230978002,-0.22513822040684583
1996-07,7596,1.1332812309265137,-52.405330657958984,0.021933031138142028,0.021090516820725658,0.00084251431741637,-0.22448538826351983
1996-08,7626,2.378115177154541,-112.89888763427734,0.035473565191870025,0.00023822672673093028,0.03523533846513909,-0.19715986843432398
1996-09,7660,0.5140130519866943,-23.58553695678711,-0.015384364173108858,-0.047232251918580936,0.03184788774547208,-0.1715911060466604
1996-10,7662,1.0943933725357056,-45.7178955078125,0.07548883054974946,0.04868787634254652,0.026800954207202944,-0.14938895721497725
1996-11,7707,0.6594398021697998,-27.71474266052246,-0.032810641661121936,-0.047937817343266076,0.01512717568214414,-0.13652161453359646
1996-12,7743,1.7672436237335205,-44.53593444824219,0.08544502585337857,0.0576301213445739,0.027814904508804673,-0.11250404569643158
