month,sample_size,mse,medse,r2,directional_accuracy,sign_mismatch_large_y,long_return,short_return,long_short_return,cumulative_long_short_return
1995-01,7288,2.6668100357055664,2.7050082683563232,-59.79520034790039,0.6068880351262349,0.36188907193849534,0.05126504895105501,-0.04337924048772328,0.09464428943877828,0.09464428943877823
1995-02,7341,2.7044200897216797,2.7829627990722656,-114.81330108642578,0.5101484811333605,0.4161660294920808,0.008781419628099543,0.005995925162536201,0.0027854944655633426,0.0976934150487705
1995-03,7384,2.639313220977783,2.689636707305908,-104.29244995117188,0.5557963163596966,0.3656554712892741,0.01603428806732102,0.0036580151691483643,0.012376272898172657,0.11127876831194117
1995-04,7415,2.692176103591919,2.7550201416015625,-92.63624572753906,0.5482130815913688,0.4198596869940637,0.025745543845418124,0.013544087160022542,0.012201456685395582,0.12483798806889923
1995-05,7452,2.568660259246826,2.6146492958068848,-80.53253936767578,0.6038647342995169,0.24744486282947822,0.030120971369361288,0.0357626337233175,-0.00564166235395621,0.11849203193731106
1995-06,7483,2.545666217803955,2.595338821411133,-83.3564224243164,0.6137912601897635,0.23677177979690006,0.03844607198016445,0.13572642013702263,-0.09728034815685818,0.009684737659777731
1995-07,7495,2.6146352291107178,2.641639471054077,-76.31382751464844,0.552101400933956,0.3424145299145299,0.046333514444492116,-0.08885136164628155,0.13518487609077368,0.14617884381106006
1995-08,7515,2.6092560291290283,2.638232469558716,-107.94135284423828,0.5602129075182968,0.3825253063399041,0.03298389097001839,-0.012126173784027909,0.045110064754046296,0.19788304567509485
1995-09,7523,2.835578441619873,2.8725385665893555,-148.52316284179688,0.33736541273428156,0.7751196172248804,-0.05256420382124518,-0.08400519886361828,0.0314409950423731,0.2355456805755083
1995-10,7554,2.657085657119751,2.6973037719726562,-114.43585205078125,0.5601006089489012,0.4508328855454057,0.02193839953296377,0.02925530734870626,-0.007316907815742488,0.22650530672859848
1995-11,7570,2.6869680881500244,2.729678153991699,-97.06594848632812,0.5067371202113606,0.49101479915433405,0.016384265932085723,0.019675446435533456,-0.0032911805034477326,0.2224686563757181
1995-12,7521,2.572073221206665,2.6137430667877197,-81.14298248291016,0.5602978327350087,0.3543559593800107,0.03358511831099231,-0.024890841413167077,0.05847595972415939,0.2939536842899917
1996-01,7519,2.584432601928711,2.614265203475952,-85.8370590209961,0.5283947333421998,0.3351063829787234,0.04219559463860554,0.014245601790019132,0.02794999284858641,0.330119680512299
1996-02,7509,2.592944622039795,2.6110150814056396,-110.21834564208984,0.5104541217206019,0.36281299946723494,0.034785457798796104,0.03026039770053722,0.0045250600982588846,0.33613855200449416
1996-03,7519,2.530329465866089,2.558095693588257,-72.32476806640625,0.5680276632530922,0.21968085106382979,0.045636631314073625,0.0912706193173396,-0.04563398800326597,0.2751652213516198
1996-04,7530,2.5135202407836914,2.5362884998321533,-42.101966857910156,0.5945551128818061,0.2092405735528412,0.03470596460699715,0.12678878716167602,-0.09208282255467887,0.1577444085460009
1996-05,7550,2.7190029621124268,2.7351157665252686,-146.86485290527344,0.391523178807947,0.7339795368874529,0.01896334035905568,-0.14985630382704598,0.16881964418610165,0.3531944076551854
1996-06,7564,2.922506809234619,2.9486327171325684,-144.95492553710938,0.2425965097831835,0.9026969857218403,-0.05725776796990934,-0.2140766782114104,0.15681891024150107,0.5654008800085653
1996-07,7596,2.557451009750366,2.6022629737854004,-119.51864624023438,0.6502106371774619,0.2727751448130595,0.03408049700593068,0.03863386678324794,-0.004553369777317261,0.5582730309521484
1996-08,7626,2.6422784328460693,2.71046781539917,-125.55088806152344,0.5753999475478626,0.3586785527005768,0.029893912070154578,0.07167180285854043,-0.04177789078838585,0.49317167044654253
1996-09,7660,2.775000810623169,2.8050732612609863,-131.72987365722656,0.45926892950391646,0.6553524804177546,-0.0049322435887359135,-0.04688546838540711,0.0419532247966712,0.5558150371968074
1996-10,7662,2.5845892429351807,2.614034652709961,-109.33196258544922,0.599582354476638,0.3665594855305466,0.030237384196579037,0.008798234821093303,0.021439149375485734,0.5891703881798966
1996-11,7707,2.709275722503662,2.749157190322876,-116.97309875488281,0.4773582457506163,0.5396990140114167,0.014467594801553003,0.027463587929780632,-0.012995993128227629,0.5685175407355278
1996-12,7743,2.4799916744232178,2.5176103115081787,-62.901058197021484,0.6320547591372853,0.21639854696419306,0.04199346760349394,0.1612803489811419,-0.11928688137764797,0.3814139749150489
