month,sample_size,mse,medse,r2,directional_accuracy,sign_mismatch_large_y,long_return,short_return,long_short_return,cumulative_long_short_return
1995-01,7288,0.1904650777578354,0.1482793241739273,-3.3420276641845703,0.6068880351262349,0.36188907193849534,0.016424707338171064,0.035450232037398374,-0.01902552469922731,-0.01902552469922736
1995-02,7341,0.179341658949852,0.16076138615608215,-6.680074691772461,0.5101484811333605,0.4161660294920808,0.0860031444910751,-0.007441383491349763,0.09344452798242486,0.0726411721080602
1995-03,7384,0.17751339077949524,0.15883700549602509,-6.081697940826416,0.5557963163596966,0.3656554712892741,0.015784995071980563,0.016604321249428268,-0.0008193261774477045,0.07176232911674396
1995-04,7415,0.1830652356147766,0.15883700549602509,-5.367169380187988,0.5482130815913688,0.4198596869940637,0.011950826183264276,0.02154110745233557,-0.009590281269071292,0.06148382692691956
1995-05,7452,0.16683952510356903,0.15337663888931274,-4.295698165893555,0.6038647342995169,0.24744486282947822,0.11195731556163036,0.04339430606825671,0.06856300949337364,0.13426235262957253
1995-06,7483,0.1632515788078308,0.15041384100914001,-4.409710884094238,0.6137912601897635,0.23677177979690006,0.0961557040972939,0.055076141052086684,0.04107956304520722,0.18085735445422402
1995-07,7495,0.18153628706932068,0.15883700549602509,-4.3679633140563965,0.552101400933956,0.3424145299145299,0.02329718227967292,0.01657352825380435,0.00672365402586857,0.18879703075947663
1995-08,7515,0.1772477775812149,0.15883700549602509,-6.400428771972656,0.5602129075182968,0.3825253063399041,0.004937067103048546,0.032900220519393925,-0.02796315341634538,0.15555451700745349
1995-09,7523,0.22942757606506348,0.19653001427650452,-11.097968101501465,0.33736541273428156,0.7751196172248804,-0.06183166628363107,-0.02218049307821874,-0.03965117320541233,0.1097354247052944
1995-10,7554,0.18422774970531464,0.15880778431892395,-7.003688812255859,0.5601006089489012,0.4508328855454057,0.05352590758952501,0.017887214584475498,0.035638693005049515,0.14928494482319454
1995-11,7570,0.19343280792236328,0.1652163863182068,-6.059693813323975,0.5067371202113606,0.49101479915433405,0.0030525048235635352,0.021917508303254542,-0.018865003479691007,0.1276036803399485
1995-12,7521,0.17951682209968567,0.15883700549602509,-4.7331366539001465,0.5602978327350087,0.3543559593800107,-0.024347543809892125,0.02981144234300423,-0.054158986152896355,0.06653380823046229
1996-01,7519,0.17904560267925262,0.16311919689178467,-5.0159406661987305,0.5283947333421998,0.3351063829787234,0.015185446325527867,0.024367622087284397,-0.00918217576175653,0.05674070734743464
1996-02,7509,0.17782774567604065,0.16482236981391907,-6.627509117126465,0.5104541217206019,0.36281299946723494,0.003219032217388669,0.019167454585414676,-0.015948422368026006,0.0398873602131713
1996-03,7519,0.1677050143480301,0.15868686139583588,-3.8598146438598633,0.5680276632530922,0.21968085106382979,0.15648225566051424,0.038253503978218736,0.1182287516822955,0.1628319447013722
1996-04,7530,0.18521340191364288,0.15638768672943115,-2.176048517227173,0.5945551128818061,0.2092405735528412,0.059305027328196314,0.050578546353199486,0.008726480974996828,0.17297937554392706
1996-05,7550,0.22047951817512512,0.1873730570077896,-10.990119934082031,0.391523178807947,0.7339795368874529,-0.1068513712698402,-0.01408676279174436,-0.09276460847809584,0.0641684030187133
1996-06,7564,0.26302701234817505,0.22084864974021912,-12.13601303100586,0.2425965097831835,0.9026969857218403,-0.14436958454056315,-0.043807197434142645,-0.1005623871064205,-0.0428469118720759
1996-07,7596,0.16161154210567474,0.1469763219356537,-6.615865707397461,0.6502106371774619,0.2727751448130595,0.09030532401013598,0.038002629822000804,0.05230269418813518,0.007214773387508311
1996-08,7626,0.17133910953998566,0.15520665049552917,-7.206219673156738,0.5753999475478626,0.3586785527005768,0.07261370462324031,0.015954540493046135,0.05665916413019417,0.06428272054722739
1996-09,7660,0.20951296389102936,0.17141376435756683,-9.021124839782715,0.45926892950391646,0.6553524804177546,-0.08589525518185569,-0.013837911109431115,-0.07205734407242458,-0.012406665637580305
1996-10,7662,0.17648310959339142,0.1536981761455536,-6.533780574798584,0.599582354476638,0.3665594855305466,0.018035773702445298,0.017007640109920816,0.0010281335925244814,-0.011391287754769164
1996-11,7707,0.2004074901342392,0.17035233974456787,-7.7265729904174805,0.4773582457506163,0.5396990140114167,-0.005143579276566535,0.008762612171877751,-0.013906191448444287,-0.025139069774851364
1996-12,7743,0.16497309505939484,0.14851787686347961,-3.250802516937256,0.6320547591372853,0.21639854696419306,0.12808190525740218,0.049334423068758806,0.07874748218864337,0.051628773964457864
