month,sample_size,mse,medse,r2,long_return,short_return,long_short_return,cumulative_long_short_return
1995-01,7288,25570.16015625,0.02684289962053299,-582921.3125,0.013222127436565926,0.025177494457772946,-0.01195536702120702,-0.01195536702120703
1995-02,7341,13833.6708984375,0.025438696146011353,-592408.0625,0.03920010898135146,0.04505499196279033,-0.005854882981438866,-0.017740252727736605
1995-03,7384,32794.140625,0.03436579182744026,-1308284.5,0.0452097455349016,0.008916246535683108,0.03629349899921849,0.017909390426861904
1995-04,7415,24902.09375,0.0287258792668581,-866115.625,0.029412928471650526,0.02478623627972539,0.004626692191925137,0.02261894385563723
1995-05,7452,58967.58203125,0.04788881540298462,-1871704.875,0.12355546271261558,0.018830570896735656,0.10472489181587993,0.12971260211978808
1995-06,7483,46126.234375,0.05258989334106445,-1528496.375,0.08747170456749546,0.06357275706858295,0.023898947498912512,0.15671154428670864
1995-07,7495,74563.7578125,0.044921547174453735,-2204822.5,-0.0012650396886052387,0.0011666127276023241,-0.0024316524162075626,0.1538988238651886
1995-08,7515,53801.6328125,0.04686310142278671,-2246318.5,0.04000201353000033,0.037059450613563374,0.002942562916436957,0.15729424375361467
1995-09,7523,38744.66796875,0.042591821402311325,-2043047.875,-0.0522463723505124,-0.028479037105082088,-0.023767335245430316,0.12978844348471585
1995-10,7554,63790.69140625,0.04491596296429634,-2771356.0,0.017547849984204892,0.017306297188425114,0.00024155279577977792,0.13006134704187922
1995-11,7570,79824.953125,0.04788881540298462,-2913360.5,-0.06886545694066293,-0.010145178360349028,-0.0587202785803139,0.06370382993073531
1995-12,7521,66050.875,0.07735782116651535,-2109432.0,-0.06420881186669307,0.018812588404620592,-0.08302140027131366,-0.024606351504073642
1996-01,7519,89886.0703125,0.07495556026697159,-3020175.25,0.02531408527363596,0.044589961583876576,-0.019275876310240615,-0.04340791882627548
1996-02,7509,62453.88671875,0.06738083809614182,-2678813.75,-0.005245037140341585,-0.005291901706918165,4.686456657658055e-05,-0.04336308855300075
1996-03,7519,81011.671875,0.06738652288913727,-2347583.75,0.13199898092889298,0.04676436048955988,0.08523462043933311,0.03817549549244004
1996-04,7530,64521.5234375,0.13301050662994385,-1106417.25,0.03552144874891805,0.02200792755386291,0.01351352119505514,0.052204902054963975
1996-05,7550,114270.9375,0.298208087682724,-6214282.5,-0.12825353399489112,-0.04969720967515755,-0.07855632431973357,-0.0304524474816793
1996-06,7564,45997.63671875,0.06618116796016693,-2297198.5,-0.13685087817567476,-0.11516859106923237,-0.02168228710644239,-0.05147445587873001
1996-07,7596,59898.33984375,0.04474005848169327,-2822679.25,0.0636421691505562,0.050439507375723815,0.01320266177483239,-0.038951393934907985
1996-08,7626,41650.81640625,0.02803710289299488,-1994848.375,0.11982599717465107,0.03274303526254884,0.08708296191210224,0.044739565222737365
1996-09,7660,85145.21875,0.042027536779642105,-4072543.25,-0.013506528715098944,-0.012791464129057396,-0.0007150645860415483,0.04399250895801021
1996-10,7662,78141.046875,0.05196723714470863,-3335714.5,0.07756068328550421,0.08293231077706491,-0.005371627491560699,0.03838457009590801
1996-11,7707,50414.94921875,0.043169744312763214,-2195274.75,-0.03631956970553257,-0.029466017815893027,-0.0068535518896395455,0.0312679475633546
1996-12,7743,77822.1953125,0.09422338753938675,-2005215.625,0.07780963096475657,0.10226827012688795,-0.024458639162131382,0.006044536954430635
