run_id,loss,seed,max_weight,cap_tag,avg_mse,avg_medse,avg_r2,avg_directional_accuracy,avg_long_short,long_short_cumulative_return,long_short_std,long_short_sharpe
imadl_m2_alpha02_seed42_cap05,imadl_m2_alpha02,42,0.05,cap05,0.04591508023440838,0.014791588764637709,-0.41512632369995117,0.5585182581297977,-0.0031099620940653718,-0.006256569488917063,0.009624672982793573,-1.1193341043720433
imadl_m2_alpha02_seed52_cap05,imadl_m2_alpha02,52,0.05,cap05,0.03463462755704919,0.010296675124360869,-0.2903248816728592,0.5310393077151816,0.006037203186528904,0.13680289986356975,0.03788773376986456,0.5519856488752015
imadl_m2_alpha02_seed62_cap05,imadl_m2_alpha02,62,0.05,cap05,0.03474623019186159,0.010284715603726605,-0.2952699015537898,0.5310393077151816,0.019870938661043464,0.5370296432712345,0.06236093019699061,1.1038153294471817
imadl_m2_alpha03_seed42_cap05,imadl_m2_alpha03,42,0.05,cap05,0.03891309032527109,0.015218491743629178,-0.4643978426853816,0.5310393077151816,0.003957137923435944,0.060609731838975334,0.05632371941418316,0.24337753284889513
imadl_m2_alpha03_seed52_cap05,imadl_m2_alpha03,52,0.05,cap05,0.03765089716762304,0.013607875443994999,-0.4143522580464681,0.5310393077151816,8.811284222401608e-06,-0.0014243613873173855,0.011906044079167458,0.002563671333929211
imadl_m2_alpha03_seed62_cap05,imadl_m2_alpha03,62,0.05,cap05,0.038154635267953076,0.01392022407768915,-0.43577707310517627,0.5310393077151816,0.005814820072971012,0.11732037785284222,0.05014402697052969,0.40170542382550767
imadl_m2_alpha04_seed42_cap05,imadl_m2_alpha04,42,0.05,cap05,0.0428852882857124,0.01944793031240503,-0.6259564111630121,0.5310393077151816,0.006332222646520465,0.11664643760134563,0.06074104907923624,0.3611307843664136
imadl_m2_alpha04_seed52_cap05,imadl_m2_alpha04,52,0.05,cap05,0.04358303647798797,0.020097882448074717,-0.6542742202679316,0.5310393077151816,0.004678092913468094,0.09938977739633703,0.0389705911871248,0.4158363710598078
imadl_m2_alpha04_seed62_cap05,imadl_m2_alpha04,62,0.05,cap05,0.0426569307067742,0.018643969320692122,-0.6176153471072515,0.5310393077151816,0.004090285285752088,0.07264550555308014,0.04968528093904181,0.2851782982193852
imadl_m2_alpha05_seed42_cap05,imadl_m2_alpha05,42,0.05,cap05,0.048703184351325035,0.02578367052289347,-0.8598152051369349,0.5310393077151816,0.01843766462869997,0.4663332051245179,0.07147623947972587,0.8935828785139771
imadl_m2_alpha05_seed52_cap05,imadl_m2_alpha05,52,0.05,cap05,0.04872335415954391,0.02579919435083866,-0.860367144147555,0.5310393077151816,0.008959982049391177,0.20213250527846682,0.05193960177587424,0.5975842560910514
imadl_m2_alpha05_seed62_cap05,imadl_m2_alpha05,62,0.05,cap05,0.0466865135046343,0.022793963241080444,-0.7805316199858984,0.5310393077151816,0.005895221400649906,0.07094807381628132,0.07990890762827071,0.2555615710652148
imadl_m2_alpha06_seed42_cap05,imadl_m2_alpha06,42,0.05,cap05,0.05627522928019365,0.033780087561657034,-1.1606531292200089,0.5310393077151816,0.015413580553599869,0.3833484967699501,0.06213599076532071,0.8593121093448713
imadl_m2_alpha06_seed52_cap05,imadl_m2_alpha06,52,0.05,cap05,0.05761525578175982,0.034849989383171,-1.2147163152694702,0.5310393077151816,0.007146031139779352,0.1569264336275269,0.047389241269867675,0.5223670468190103
imadl_m2_alpha06_seed62_cap05,imadl_m2_alpha06,62,0.05,cap05,0.0531095148374637,0.02964424582508703,-1.0366146663824718,0.531101297667047,0.016519630164088518,0.37225501078625367,0.08330521950141828,0.6869398805428166
imadl_m2_alpha07_seed42_cap05,imadl_m2_alpha07,42,0.05,cap05,0.0639536480108897,0.041976244964947305,-1.4668743660052617,0.5310393077151816,0.00712837852336056,0.16895343570747423,0.035981674311437395,0.6862778908606086
imadl_m2_alpha07_seed52_cap05,imadl_m2_alpha07,52,0.05,cap05,0.06058220146223903,0.03918441121156017,-1.3307870874802272,0.5310393077151816,0.005448688089457795,0.0820782505383586,0.06754312429187197,0.2794482696641256
imadl_m2_alpha07_seed62_cap05,imadl_m2_alpha07,62,0.05,cap05,0.06139449247469505,0.038410562789067626,-1.3650420159101486,0.5310393077151816,0.0038551982928700748,0.05983376675887109,0.055310247487008544,0.2414525199176583
imadl_m2_alpha08_seed42_cap05,imadl_m2_alpha08,42,0.05,cap05,0.08223764784634113,0.061426322596768536,-2.1829207142194114,0.5310393077151816,0.002086312051132709,0.007656530544219553,0.06115737491819833,0.11817376000322104
imadl_m2_alpha08_seed52_cap05,imadl_m2_alpha08,52,0.05,cap05,0.0883637781565388,0.06540060012290876,-2.4322084138790765,0.5310393077151816,0.002960026160476079,0.0705168618096308,0.015605894387732548,0.6570486220524153
imadl_m2_alpha08_seed62_cap05,imadl_m2_alpha08,62,0.05,cap05,0.07483715222527583,0.05341531056910753,-1.8951783329248428,0.5310393077151816,0.021132417451362615,0.5430361609045271,0.07873060840956497,0.9298142476457334
imadl_gmadl_beta03_seed42_cap05,imadl_gmadl_beta03,42,0.05,cap05,5.063415428002675,5.285495767990748,-194.27561632792154,0.5310393077151816,-0.002521943639719413,-0.08046972235010663,0.04504732392219205,-0.19393536119322244
imadl_gmadl_beta03_seed52_cap05,imadl_gmadl_beta03,52,0.05,cap05,11.676194985707602,12.907443324724833,-449.23651123046875,0.5310393077151816,0.0007742852938801698,-0.02538032509656929,0.0626792854817543,0.0427924938277812
imadl_gmadl_beta03_seed62_cap05,imadl_gmadl_beta03,62,0.05,cap05,6.940961460272471,7.663156986236572,-266.8748712539673,0.5310393077151816,0.0008386618704567332,-0.02142972171349533,0.060827879789871274,0.04776115738440351
imadl_gmadl_beta05_seed42_cap05,imadl_gmadl_beta05,42,0.05,cap05,4.260251770416896,4.42710096637408,-163.34752972920737,0.5310393077151816,0.004175341009473445,0.052990530027933636,0.06571052830993816,0.2201139742241326
imadl_gmadl_beta05_seed52_cap05,imadl_gmadl_beta05,52,0.05,cap05,3.591756741205851,3.643430491288503,-137.86802355448404,0.5310501778200528,-0.007336061440547246,-0.19515290638026428,0.059071538679879854,-0.43020484742520004
imadl_gmadl_beta05_seed62_cap05,imadl_gmadl_beta05,62,0.05,cap05,17.167981068293255,17.482905864715576,-660.8183809916178,0.5310393077151816,0.00562664460997019,0.10063143140784603,0.05871926078201395,0.33193995328998016
