month,mse,r2,long_return,short_return,long_short_return
1995-01,0.558269,-11.7268,0.0549,0.0275,0.0274
1995-02,12.269534,-524.4269,0.0137,0.0172,-0.0035
1995-03,0.495372,-18.7623,0.0253,0.0270,-0.0017
1995-04,0.557062,-18.3751,0.0275,0.0192,0.0084
1995-05,2.025598,-63.2950,0.0428,0.0492,-0.0064
1995-06,1.426312,-46.2641,0.0419,0.0566,-0.0147
