month,medse,r2,long_return,short_return,long_short_return
1995-01,0.039745,-1360268.5645,0.0271,0.0117,0.0155
1995-02,0.030904,-717889.1269,0.0189,0.0415,-0.0226
1995-03,0.043582,-1938162.9553,0.0523,0.0091,0.0432
1995-04,0.038822,-2650063.3569,0.0389,0.0168,0.0220
1995-05,0.051366,-2215223.4767,0.0981,0.0425,0.0556
1995-06,0.066801,-1405337.3504,0.0916,0.0474,0.0441
