month,sample_size,mse,medse,r2,directional_accuracy,sign_mismatch_large_y,long_return,short_return,long_short_return,cumulative_long_short_return
1995-01,7288,0.1533735692501068,0.11547965556383133,-2.4964537620544434,0.6068880351262349,0.36188907193849534,0.04578063191554492,0.015161499925759329,0.03061913198978559,0.030619131989785497
1995-02,7341,0.14352542161941528,0.12643854320049286,-5.1462907791137695,0.5101484811333605,0.4161660294920808,0.016392789920719835,0.043324925779856006,-0.02693213585913617,0.0028623575080115593
1995-03,7384,0.13754573464393616,0.12242797762155533,-4.487232685089111,0.5557963163596966,0.3656554712892741,0.02575338748834157,0.03019533855445852,-0.004441951066116948,-0.0015923080100898046
1995-04,7415,0.14529767632484436,0.12435776740312576,-4.0535807609558105,0.5482130815913688,0.4198596869940637,0.027706060866251273,0.010150069626770165,0.01755599123948111,0.015935728683915684
1995-05,7452,0.13145585358142853,0.11597508192062378,-3.1725759506225586,0.6038647342995169,0.24744486282947822,0.024189278502793718,0.09046825795424543,-0.06627897945145171,-0.05139945460152118
1995-06,7483,0.12656542658805847,0.11397983133792877,-3.1940321922302246,0.6137912601897635,0.23677177979690006,0.030309970889033307,0.09888290889551216,-0.06857293800647885,-0.11644778099404307
1995-07,7495,0.13907693326473236,0.1203390434384346,-3.112454891204834,0.552101400933956,0.3424145299145299,0.043155467245935504,0.018969096167144227,0.024186371078791277,-0.09507785915767553
1995-08,7515,0.13247494399547577,0.12010796368122101,-4.531078338623047,0.5602129075182968,0.3825253063399041,0.03353665737520229,0.016544041647941626,0.016992615727260664,-0.07970086495525186
1995-09,7523,0.1767781674861908,0.1549004763364792,-8.321706771850586,0.33736541273428156,0.7751196172248804,-0.0406149961250883,-0.06228601348543645,0.021671017360348148,-0.05975704642298385
1995-10,7554,0.1425318717956543,0.12238574028015137,-5.192231178283691,0.5601006089489012,0.4508328855454057,0.012045748007622224,0.038580745339329064,-0.02653499733170684,-0.08470639068730612
1995-11,7570,0.14985431730747223,0.12731513381004333,-4.469214916229248,0.5067371202113606,0.49101479915433405,0.0011395801188738893,-0.01157537109135882,0.01271495121023271,-0.07306847710185749
1995-12,7521,0.13708533346652985,0.12435776740312576,-3.378024101257324,0.5602978327350087,0.3543559593800107,0.008609318077265116,0.0014200437645856528,0.007189274312679463,-0.06640451211467291
1996-01,7519,0.13579048216342926,0.12401631474494934,-3.5625662803649902,0.5283947333421998,0.3351063829787234,0.029695409541693453,0.05070997193144429,-0.021014562389750836,-0.08602361274162895
1996-02,7509,0.13187846541404724,0.12435776740312576,-4.656620979309082,0.5104541217206019,0.36281299946723494,0.02640657927124137,0.009408377306535839,0.016998201964705528,-0.07048765752003927
1996-03,7519,0.13115543127059937,0.11960597336292267,-2.8006680011749268,0.5680276632530922,0.21968085106382979,0.03821042922416523,0.11510206400803163,-0.0768916347838664,-0.14195938108510453
1996-04,7530,0.14494411647319794,0.11515478044748306,-1.485508918762207,0.5945551128818061,0.2092405735528412,0.04890896178651463,0.06512266306137321,-0.016213701274858577,-0.15587139536188543
1996-05,7550,0.15365172922611237,0.1375066339969635,-7.355890274047852,0.391523178807947,0.7339795368874529,0.005126000403727305,-0.09932517465936416,0.10445117506309147,-0.0677011707030667
1996-06,7564,0.19825483858585358,0.17340192198753357,-8.9011812210083,0.2425965097831835,0.9026969857218403,-0.05142788926233416,-0.13851576979139174,0.08708788052905758,0.013490758360124921
1996-07,7596,0.12164151668548584,0.11099755764007568,-4.732297420501709,0.6502106371774619,0.2727751448130595,0.04810477150347038,0.07262419753496893,-0.02451942603149855,-0.011359453323093627
1996-08,7626,0.13405460119247437,0.12408888339996338,-5.420492649078369,0.5753999475478626,0.3586785527005768,0.009270539460659174,0.05058716017336065,-0.04131662071270148,-0.05220673981134116
1996-09,7660,0.16148194670677185,0.1349228024482727,-6.72377347946167,0.45926892950391646,0.6553524804177546,-0.025864590006296147,-0.04837303815834196,0.02250844815204581,-0.030873384355526223
1996-10,7662,0.13154888153076172,0.1145537942647934,-4.615610599517822,0.599582354476638,0.3665594855305466,0.025857460718789006,0.021279629180238246,0.0045778315385507605,-0.02643688596958005
1996-11,7707,0.154510959982872,0.13190960884094238,-5.7280473709106445,0.4773582457506163,0.5396990140114167,-0.004736123665084941,-0.019701671880659022,0.014965548215574082,-0.011866980245653247
1996-12,7743,0.1283120959997177,0.11173105239868164,-2.3061716556549072,0.6320547591372853,0.21639854696419306,0.04804845752037576,0.09505070439928902,-0.04700224687891326,-0.0583114523893532
