month,sample_size,mse,medse,r2,directional_accuracy,sign_mismatch_large_y,long_return,short_return,long_short_return,cumulative_long_short_return
1995-01,7288,0.04400169104337692,0.003107522614300251,-0.0031055212020874023,0.6068880351262349,0.36188907193849534,0.03927493971437813,0.017306501713381894,0.021968438000996234,0.021968438000996127
1995-02,7341,0.024005215615034103,0.004288999829441309,-0.0279923677444458,0.5101484811333605,0.4161660294920808,0.04956083625906708,0.04666917882864505,0.0028916574304220302,0.02492362062839848
1995-03,7384,0.025408219546079636,0.0033440531697124243,-0.013632416725158691,0.5557963163596966,0.3656554712892741,0.022397335979719317,0.01630452498636581,0.006092810993353508,0.031168286531510825
1995-04,7415,0.02925044484436512,0.0036157916765660048,-0.017356157302856445,0.5482130815913688,0.4198596869940637,0.02329427870996925,0.0001410767609733533,0.023153201948995897,0.05504313411297512
1995-05,7452,0.031551655381917953,0.003803248517215252,-0.0014896392822265625,0.6038647342995169,0.24744486282947822,0.07733440128825794,0.0854139040510253,-0.008079502762767352,0.04651891019607057
1995-06,7483,0.030296381562948227,0.0038991975598037243,-0.003939270973205566,0.6137912601897635,0.23677177979690006,0.0582670036123588,0.10335280973175236,-0.04508580611939356,-0.0006642384893084108
1995-07,7495,0.033917877823114395,0.004033594857901335,-0.002939462661743164,0.552101400933956,0.3424145299145299,0.024446728590328433,0.0012409646748696198,0.023205763915458814,0.022526111264584037
1995-08,7515,0.02425050176680088,0.0032583922147750854,-0.012504100799560547,0.5602129075182968,0.3825253063399041,0.018688034338632118,0.024500356368126457,-0.005812322029494339,0.016582860222347673
1995-09,7523,0.026181116700172424,0.007463946007192135,-0.38055896759033203,0.33736541273428156,0.7751196172248804,-0.05017488936823222,-0.06070963185648185,0.010534742488249628,0.027292298872758414
1995-10,7554,0.02385508455336094,0.003822757862508297,-0.036373019218444824,0.5601006089489012,0.4508328855454057,0.036797590760358434,0.034797011128808425,0.002000579631550009,0.029347478921531556
1995-11,7570,0.02854517288506031,0.004702700302004814,-0.041809797286987305,0.5067371202113606,0.49101479915433405,0.011655102674272583,0.0072185192945578396,0.004436583379714743,0.033914264838466046
1995-12,7521,0.031342774629592896,0.004757953807711601,-0.000978231430053711,0.5602978327350087,0.3543559593800107,0.06013763306745294,-0.005634186042759101,0.06577181911021204,0.10191668684088961
1996-01,7519,0.02991679310798645,0.004156220704317093,-0.005205631256103516,0.5283947333421998,0.3351063829787234,0.04576129299336726,0.04057166268466641,0.00518963030870085,0.10763522707658235
1996-02,7509,0.02359991893172264,0.004264515358954668,-0.012263774871826172,0.5104541217206019,0.36281299946723494,0.04731249705938713,0.01170383707859351,0.03560865998079362,0.14707663326030151
1996-03,7519,0.0346488393843174,0.004836798179894686,-0.0040662288665771484,0.5680276632530922,0.21968085106382979,0.05905945658846079,0.10953444825523628,-0.05047499166677549,0.08917794975533488
1996-04,7530,0.05869828537106514,0.0040007163770496845,-0.0065610408782958984,0.5945551128818061,0.2092405735528412,0.054119553828794006,0.07104192520928927,-0.016922371380495266,0.07074647599012862
1996-05,7550,0.023358602076768875,0.0056357732973992825,-0.2702878713607788,0.391523178807947,0.7339795368874529,-0.03286608249579656,-0.12901501596654805,0.09614893347075149,0.173697607674145
1996-06,7564,0.03367270901799202,0.011295253410935402,-0.6816719770431519,0.2425965097831835,0.9026969857218403,-0.0778198164380216,-0.14551086047331444,0.06769104403529283,0.2531464241193335
1996-07,7596,0.021243451163172722,0.0028865784406661987,-0.0010873079299926758,0.6502106371774619,0.2727751448130595,0.056181703608034504,0.06400781761028057,-0.007826114002246067,0.24333915734266864
1996-08,7626,0.021163251250982285,0.0035172938369214535,-0.013605594635009766,0.5753999475478626,0.3586785527005768,0.028577106151285697,0.060827563747681,-0.032250457596395304,0.2032409005708511
1996-09,7660,0.024617981165647507,0.005195377394556999,-0.17749202251434326,0.45926892950391646,0.6553524804177546,-0.017362328914030913,-0.048712255445219295,0.031349926531188385,0.2409624144030682
1996-10,7662,0.023679204285144806,0.0036840317770838737,-0.010827183723449707,0.599582354476638,0.3665594855305466,0.037400952873841244,0.021771236767998522,0.015629716105842722,0.2603583046382094
1996-11,7707,0.025172974914312363,0.00491586048156023,-0.09613561630249023,0.4773582457506163,0.5396990140114167,-0.02061599554065305,-0.001443605010347666,-0.019172390530305387,0.23619422301357207
1996-12,7743,0.03924144431948662,0.004611496813595295,-0.011120200157165527,0.6320547591372853,0.21639854696419306,0.07154636130048814,0.08737481163914397,-0.015828450338655833,0.2166271841456684
