run_id,loss,seed,max_weight,cap_tag,avg_mse,avg_medse,avg_r2,avg_directional_accuracy,avg_long_short,long_short_cumulative_return,long_short_std,long_short_sharpe
m2_robust_gamma03_seed42_cap05,m2_robust_gamma03,42,0.05,cap05,0.029733723184714716,0.004654362438789879,-0.08033764362335205,0.5310393077151816,-0.0003597752266116816,-0.05201075183538906,0.06273352214086722,-0.01986653867119933
m2_robust_gamma03_seed52_cap05,m2_robust_gamma03,52,0.05,cap05,0.029749826528131962,0.004668594755154724,-0.0811132291952769,0.5310393077151816,0.003959374513711564,0.07779504746567412,0.04203290147610591,0.3263080864327276
m2_robust_gamma03_seed62_cap05,m2_robust_gamma03,62,0.05,cap05,0.029669550247490406,0.00456774477303649,-0.07733755807081859,0.5310393077151816,0.00945255909765652,0.21969114854198923,0.04932911505586725,0.6637991620221119
m2_robust_gamma05_seed42_cap05,m2_robust_gamma05,42,0.05,cap05,0.02973695060548683,0.004657880044154202,-0.08048248787720998,0.5310393077151816,0.014668087253430368,0.3661570392998883,0.05843115453670403,0.8696002183847287
m2_robust_gamma05_seed52_cap05,m2_robust_gamma05,52,0.05,cap05,0.02982941425095002,0.0047572524442027015,-0.08501717448234558,0.5310393077151816,0.009330111525386193,0.2171891858860886,0.048458446490795413,0.6669725660859742
m2_robust_gamma05_seed62_cap05,m2_robust_gamma05,62,0.05,cap05,0.02962013566866517,0.004489732110717644,-0.07505601644515991,0.5310393077151816,0.005821944394900715,0.13420639943673685,0.03479373484065649,0.5796390377169764
m2_robust_gamma07_seed42_cap05,m2_robust_gamma07,42,0.05,cap05,0.029753098264336586,0.004667324324448903,-0.08134867250919342,0.5310393077151816,0.006786693722315672,0.16741261199408553,0.025842989324239857,0.9097166117260117
m2_robust_gamma07_seed52_cap05,m2_robust_gamma07,52,0.05,cap05,0.029721138688425224,0.004626738140359521,-0.07988147934277852,0.5310393077151816,0.01612966705314749,0.4256411327829801,0.05154331877888187,1.0840358559397856
m2_robust_gamma07_seed62_cap05,m2_robust_gamma07,62,0.05,cap05,0.029699249115462106,0.004599798053580646,-0.07879079381624858,0.5310393077151816,0.010278108297143642,0.2467574052347712,0.047273554793715464,0.7531570601800669
m2_robust_gamma10_seed42_cap05,m2_robust_gamma10,42,0.05,cap05,0.029750825837254524,0.0046710326375129325,-0.08121355871359508,0.5310393077151816,0.009734599426667498,0.18870515200789884,0.07351085045712624,0.4587301246950669
m2_robust_gamma10_seed52_cap05,m2_robust_gamma10,52,0.05,cap05,0.029859865705172222,0.004788699695685257,-0.08638656636079152,0.5310393077151816,0.0112581408416385,0.29941525381027123,0.024610678469158067,1.5846513098711177
m2_robust_gamma10_seed62_cap05,m2_robust_gamma10,62,0.05,cap05,0.02967842062935233,0.004556670901365578,-0.07792024562756221,0.5310393077151816,0.00888198076003118,0.22238455429940207,0.031733501243148006,0.9695773454273346
m2_robust_gamma15_seed42_cap05,m2_robust_gamma15,42,0.05,cap05,0.029741368256509304,0.004654220674031724,-0.08080342908700307,0.5310393077151816,0.011749238648762534,0.2937265084458791,0.0451157702080645,0.9021359137196319
m2_robust_gamma15_seed52_cap05,m2_robust_gamma15,52,0.05,cap05,0.029752188129350543,0.0046724975303125875,-0.08124471704165141,0.5310393077151816,0.006033105901780806,0.1220868509317885,0.051167062472782625,0.4084520566286759
m2_robust_gamma15_seed62_cap05,m2_robust_gamma15,62,0.05,cap05,0.029705843965833385,0.004589025173724319,-0.07926665991544724,0.5310393077151816,0.010387588456601335,0.2672646828048535,0.031613633769807865,1.1382323908700631
